ObjectID,X,Y,School,City,GradeLevels
324,967318.64421999,335701.75632335,CENTRAL ELEMENTARY,Somerville,"PK,K,1,2,3,4,5,6"
325,3036850.47734448,837290.09909946,CENTRAL HEIGHTS ELEMENTARY,Blountville,"K,1,2,3,4,5"
326,2582956.3544613,628200.40762073,CENTRAL HIGH SCHOOL,Knoxville,"9,10,11,12"
327,1073335.91472751,350848.99040307,CENTRAL HIGH SCHOOL,Bolivar,"9,10,11,12"
328,1844017.1391056,421131.40768925,CENTRAL HIGH SCHOOL,Shelbyville,"9,10,11,12"
329,766770.17533902,316084.02668593,CENTRAL HIGH SCHOOL,Memphis,"9,10,11,12"
330,1299925.11919759,626787.5729285,CENTRAL HIGH SCHOOL,Bruceton,"6,7,8,9,10,11,12"
331,2414613.03778318,383523.23399883,CENTRAL HIGH SCHOOL,Englewood,"9,10,11,12"
332,2386523.42527877,647431.57484729,CENTRAL HIGH SCHOOL,Wartburg,"9,10,11,12"
333,2226286.91481761,284311.62770319,CENTRAL HIGH SCHOOL,Harrison,"9,10,11,12"
334,1856192.8629591,550754.9910701,CENTRAL MAGNET SCHOOL,Murfreesboroa,"6,7,8,9,10,11,12"
335,2398868.63499278,642796.6388295,CENTRAL MIDDLE SCHOOL,Wartburg,"6,7,8"
336,2088482.84555669,562882.92252285,CENTRAL VIEW ELEMENTARY,Walling,"K,1,2,3,4,5"
337,1749756.11527841,701123.8896164,CHADWELL ELEMENTARY,Madison,"K,1,2,3,4,P3,P4"
338,2079520.27668761,678889.23091463,CHANCE TRANSITIONAL SCHOOL/CHANCE GIRLS RESIDENTIAL CENTER,Bloomington Springs,"7,8,9,10,11,12"
339,1761669.42243155,469994.57346098,CHAPEL HILL ELEMENTARY,Chapel Hill,"K,1,2,3,4,5"
340,1709508.01529725,517777.75992796,CHAPMAN'S RETREAT ELEMENTARY,Spring Hill,"K,1,2,3,4,5"
341,777262.8490086,298491.43623254,CHARJEAN ELEMENTARY,Memphis,"K,1,2,3,4,5"
342,2338398.904559,348086.43821966,CHARLESTON ELEMENTARY,Charleston,"K,1,2,3,4,5,P3,P4"
343,1572469.20508174,675673.02418587,CHARLOTTE ELEMENTARY,Charlotte,"PK,K,1,2,3,4,5"
344,1572495.9133798,675868.02338975,CHARLOTTE MIDDLE SCHOOL,Charlotte,"6,7,8"
345,1707765.44500186,663221.76455272,CHARLOTTE PARK ELEMENTARY,Nashville,"K,1,2,3,4,P3,P4"
346,2177336.0065059,271742.30581304,CHATT HIGH CENTER FOR CREATIVE ARTS,Chattanooga,"6,7,8,9,10,11,12"
